"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"NEPSE","2017-09-06","1554.56","1580.4","1554.56","1566.5","0.00","702812032"
"NEPSE","2017-09-07","1566.5","1571.01","1553.99","1554.55","0.00","653435008"
"NEPSE","2017-09-10","1554.55","1556.77","1519.12","1519.66","0.00","877347968"
"NEPSE","2017-09-11","1519.66","1530.23","1510.23","1523.26","0.00","727353984"
"NEPSE","2017-09-12","1523.26","1523.26","1499.55","1502.2","0.00","540275008"
"NEPSE","2017-09-13","1502.2","1509.24","1483.96","1493.2","0.00","591177984"
"NEPSE","2017-09-14","1493.2","1530.31","1489.4","1530.31","0.00","591177984"
"NEPSE","2017-09-17","1530.31","1549.11","1528.94","1547.94","0.00","576883008"
"NEPSE","2017-09-18","1547.94","1556.34","1541.31","1543.7","0.00","450840992"
"NEPSE","2017-09-20","1543.7","1546.89","1530.23","1539.81","0.00","414631008"
"NEPSE","2017-09-24","1539.81","1540.38","1534.61","1536.92","0.00","271105984"
"NEPSE","2017-09-25","1536.92","1545.65","1536.85","1545.44","0.00","255570000"
"NEPSE","2017-09-26","1545.44","1553.44","1545.34","1549.46","0.00","303448000"
"NEPSE","2017-10-03","1549.46","1556.35","1546.1","1556.35","0.00","129759000"
"NEPSE","2017-10-04","1556.35","1558.61","1539.89","1542.65","0.00","272360992"
"NEPSE","2017-10-08","1542.65","1542.53","1492.2","1510.01","0.00","389966016"
"NEPSE","2017-10-09","1510.01","1513.06","1493.83","1501.89","0.00","308187008"
"NEPSE","2017-10-10","1501.89","1507.82","1493.97","1502.63","0.00","297796000"
"NEPSE","2017-10-11","1502.63","1513.38","1499.38","1505.99","0.00","274908000"
"NEPSE","2017-10-12","1505.99","1512.3","1505.52","1510.02","0.00","386200992"
"NEPSE","2017-10-15","1510.02","1518.47","1507.95","1518.28","0.00","498376000"
"NEPSE","2017-10-16","1518.28","1564.99","1518.28","1564.9","0.00","545788032"
"NEPSE","2017-10-17","1564.9","1573.91","1552.12","1559.18","0.00","554140032"
"NEPSE","2017-10-18","1559.18","1568.52","1548.32","1568.35","0.00","350052000"
"NEPSE","2017-10-22","1568.35","1586.89","1567.96","1571.92","0.00","346168992"
"NEPSE","2017-10-23","1571.92","1575.67","1564.48","1568.3","0.00","377179008"
"NEPSE","2017-10-24","1568.3","1572.4","1562.56","1567.64","0.00","377179008"
"NEPSE","2017-10-25","1567.64","1568.06","1552.91","1553.72","0.00","409729984"
"NEPSE","2017-10-29","1553.72","1555.21","1539.41","1540.23","0.00","373524000"
"NEPSE","2017-10-30","1540.23","1542.91","1534.2","1536.72","0.00","389572000"
"NEPSE","2017-10-31","1536.72","1539.94","1528.12","1533.53","0.00","339512992"
"NEPSE","2017-11-01","1533.53","1535.88","1523.52","1526.51","0.00","368937984"
"NEPSE","2017-11-02","1526.51","1527.08","1519.77","1522.81","0.00","360876000"
"NEPSE","2017-11-05","1522.81","1524.43","1489.17","1496.46","0.00","581257024"
"NEPSE","2017-11-06","1496.46","1503.43","1480.32","1493.42","0.00","486160000"
"NEPSE","2017-11-07","1493.42","1503.32","1483.92","1484.45","0.00","377729984"
"NEPSE","2017-11-08","1484.45","1484.54","1459.4","1466.62","0.00","446584992"
"NEPSE","2017-11-09","1466.62","1475.83","1452.24","1460.73","0.00","444492992"
"NEPSE","2017-11-12","1460.73","1477.19","1456.66","1477.14","0.00","323486016"
"NEPSE","2017-11-13","1477.14","1492.02","1476.86","1490.88","0.00","514395008"
"NEPSE","2017-11-14","1490.88","1521.87","1490.82","1516.02","0.00","681294016"
"NEPSE","2017-11-15","1516.02","1521.01","1503.97","1504.79","0.00","584502016"
"NEPSE","2017-11-16","1504.79","1506.81","1488.52","1489.06","0.00","416516000"
"NEPSE","2017-11-19","1489.06","1494.2","1475.04","1475.72","0.00","424575008"
"NEPSE","2017-11-20","1475.72","1476.53","1467.07","1469.16","0.00","354720000"
"NEPSE","2017-11-21","1469.16","1481.3","1465.89","1472.24","0.00","290092000"
"NEPSE","2017-11-22","1469.16","1482.05","1470.97","1480.26","0.00","295387008"
"NEPSE","2017-11-23","1480.26","1494.1","1480.26","1493.29","0.00","426372000"
"NEPSE","2017-11-26","1493.29","1516.73","1493.29","1514.34","0.00","588665984"
"NEPSE","2017-11-27","1514.34","1521.15","1508.22","1513.74","0.00","640464000"
"NEPSE","2017-11-28","1513.74","1524.01","1510.23","1523.86","0.00","542232000"
"NEPSE","2017-11-29","1523.86","1548.67","1523.86","1536.12","0.00","1009910016"
"NEPSE","2017-11-30","1536.12","1540.84","1527.14","1537.67","0.00","714825984"
"NEPSE","2017-12-04","1537.67","1544.93","1524.54","1526.77","0.00","525312992"
"NEPSE","2017-12-05","1526.77","1528.63","1517.99","1524.87","0.00","490348992"
"NEPSE","2017-12-06","1524.87","1537.51","1524.36","1536.54","0.00","608851968"
"NEPSE","2017-12-10","1536.54","1556.84","1529.12","1530.49","0.00","807576000"
"NEPSE","2017-12-11","1530.49","1533.01","1520.19","1527.75","0.00","379048000"
"NEPSE","2017-12-12","1527.75","1530.84","1509.86","1510.21","0.00","556129984"
"NEPSE","2017-12-13","1510.21","1520.81","1504.13","1520.74","0.00","430999008"
"NEPSE","2017-12-14","1520.74","1524.39","1515.16","1520.15","0.00","404048000"
"NEPSE","2017-12-17","1520.15","1520.95","1505.84","1509.14","0.00","479945984"
"NEPSE","2017-12-18","1509.14","1516.9","1507.68","1508.25","0.00","518272992"
"NEPSE","2017-12-19","1508.25","1510.96","1493","1493.76","0.00","490559008"
"NEPSE","2017-12-20","1493.76","1494.06","1482.52","1484.47","0.00","391591008"
"NEPSE","2017-12-21","1484.47","1487.16","1470.64","1472.15","0.00","447976000"
"NEPSE","2017-12-24","1472.15","1481.06","1466.46","1467.68","0.00","500308000"
"NEPSE","2017-12-26","1467.68","1470.84","1445.25","1447.04","0.00","523652992"
"NEPSE","2017-12-27","1447.04","1447.3","1421.29","1425.51","0.00","643049984"
"NEPSE","2017-12-28","1425.51","1427.47","1409.31","1414.78","0.00","732625984"
"NEPSE","2017-12-31","1414.78","1414.87","1382.33","1390.58","0.00","422227008"
"NEPSE","2018-01-01","1390.58","1434.95","1390.59","1434.8","0.00","462478016"
"NEPSE","2018-01-02","1434.8","1453.85","1429.85","1437.24","0.00","603081984"
"NEPSE","2018-01-03","1437.24","1439.24","1414.96","1416.61","0.00","435828992"
"NEPSE","2018-01-04","1416.61","1423.83","1414.74","1423.83","0.00","365937984"
